agent_count,candidate_count,exact_winner_agreement,exact_winner_cross_seed_nonoptimal,layout_mode,map_id,mean_quality_winner_set_jaccard,mean_top3_overlap,mutual_cross_seed_optimal_fraction,paired_seed_rank_correlation,quality_winner_set_overlap_fraction,state_id,timing_only_winner_mismatch,trial_count,true_quality_instability,winner_outcome_equivalent_fraction
100,18,False,True,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,0.5555555555555556,0.6666666666666666,0.0,0.49638707522673425,1.0,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0007__seed_0000__realized_dynamic__decision_0000__0000,False,2,False,1.0
200,18,False,False,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,1.0,1.0,1.0,0.9999999999999998,1.0,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,True,2,False,1.0
600,18,False,True,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,0.0,0.3333333333333333,0.0,0.4852255706434843,0.0,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,False,2,True,0.0
100,18,False,False,compartmentalized,policy_train_compartmentalized_double_horizontal_0002,0.5,0.6666666666666666,1.0,0.6434154251674197,1.0,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,True,2,False,1.0
200,18,True,False,compartmentalized,policy_train_compartmentalized_double_horizontal_0002,0.5,0.3333333333333333,1.0,0.09764807930671371,1.0,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0001__0007,False,2,False,1.0
400,18,True,False,compartmentalized,policy_train_compartmentalized_double_horizontal_0002,1.0,0.3333333333333333,1.0,0.5654669522626384,1.0,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0003__0016,False,2,False,0.0
400,18,False,True,compartmentalized,policy_train_compartmentalized_double_horizontal_0002,0.0,0.0,0.0,-0.25468605902791414,0.0,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0014__seed_0000__realized_dynamic__decision_0007__0017,False,2,True,0.0
400,18,False,False,dead_end_aisles,policy_train_dead_end_aisles_0002,0.9333333333333333,1.0,1.0,0.8335783953393169,1.0,s3__policy_train__policy_train_dead_end_aisles_0002__task_0012__seed_0000__realized_dynamic__decision_0000__0090,True,2,False,1.0
600,18,False,True,dead_end_aisles,policy_train_dead_end_aisles_0002,0.5625,0.6666666666666666,0.0,0.5951836207721314,1.0,s3__policy_train__policy_train_dead_end_aisles_0002__task_0019__seed_0000__official_adaptive__decision_0000__0093,False,2,False,1.0
600,18,False,True,regular_beltway,policy_train_regular_beltway_0000,0.0,0.0,0.0,0.3567586330671387,0.0,s3__policy_train__policy_train_regular_beltway_0000__task_0016__seed_0000__official_adaptive__decision_0004__0113,False,2,True,1.0
200,17,False,False,regular_beltway,policy_train_regular_beltway_0002,1.0,1.0,1.0,1.0,1.0,s3__policy_train__policy_train_regular_beltway_0002__task_0011__seed_0000__official_adaptive__decision_0000__0109,True,2,False,1.0
400,18,False,True,regular_beltway,policy_train_regular_beltway_0002,0.7333333333333333,0.6666666666666666,0.0,0.560611910581388,1.0,s3__policy_train__policy_train_regular_beltway_0002__task_0015__seed_0000__realized_dynamic__decision_0000__0110,False,2,False,1.0
