actual_size,agent_count,agents,candidate_id,complete,conflict_trajectory,continuation_teacher,executed_steps,feasible,final_conflict_ratio,final_conflicts,final_fingerprint,final_repair_fingerprint,horizon,initial_conflicts,initial_fingerprint,initial_repair_fingerprint,is_v2_candidate,layout_mode,log_total_seconds,low_level_expanded,low_level_generated,low_level_reopened,low_level_runs,map_id,no_progress,normalized_step_auc,normalized_wall_auc_seconds,observed_total_seconds,padded_steps,pp_replan_seconds,repair_wall_seconds,root_selection_seconds,schema,selection_families,selection_wall_seconds,source_stratum,split,state_id,stop_reason,trial_index
16,200,"2,14,25,49,64,72,82,101,127,140,172,174,179,181,190,197",neighborhood-01b9345fc181aa5c,True,"1,0",official_adaptive,1,True,0.0,0,01e161aafef01e8ad1fa1f3c798c86e5dc6ae9afc58c8d4f894182a5ecee2c21,a7b2dfbbb01200332575cc8547aad4a12d7cee3f3fc7c6ce800d3151c77f1495,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.0856050515774522,31227,39562,16074,16,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.08937599600000823,0.08937599600000823,2,0.048915769,0.061086225000003935,0.028289771000004293,lns2.receding_q_label_pilot.v1,collision:16,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,2
16,200,"2,14,25,49,64,72,82,101,127,140,172,174,179,181,190,197",neighborhood-01b9345fc181aa5c,True,"1,0",official_adaptive,1,True,0.0,0,ad10fef2aa4d7a7b6ff0a0ffb493ef880f0c66f324cb0af5e5d4561a9cf69741,07789f7a2d4255af9b448db651f52c54004e22bfadebb8462c443ef61f2c9f3b,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.0739155388539179,31375,39633,16301,16,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.07671586100001093,0.07671586100001093,2,0.038694535,0.04842609000000664,0.028289771000004293,lns2.receding_q_label_pilot.v1,collision:16,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
8,200,"14,34,77,82,151,165,170,188",neighborhood-0620317b839a331b,True,"1,0",official_adaptive,1,True,0.0,0,68178b35c666915627d76719ef8a7a9958390f4333c3698ea7160d3342f1beef,c497afe7a0dd06b6f86b0b402243aa2abc11e674ba4fe026e01e9ddc604ad70a,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.052061778977615186,8767,19112,1560,8,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.05344082100000236,0.05344082100000236,2,0.016034448,0.025151049999998065,0.028289771000004293,lns2.receding_q_label_pilot.v1,collision:8,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,2
8,200,"14,34,77,82,151,165,170,188",neighborhood-0620317b839a331b,True,"1,1,0",official_adaptive,2,True,0.0,0,331d9930a5ee116f0534ba4fdbaa9b7d05f31cb6b8671defc26340318b71b05d,50776ec6c00fe38235182e5ec4ffec9d1bb5d279fdb9b52a4fb37197af2d049c,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.1457943957034125,25910,50176,3386,16,policy_train_compartmentalized_double_horizontal_0001,False,0.5,0.15695828800001266,0.15695828800001266,1,0.039373385,0.05984681200001063,0.028289771000004293,lns2.receding_q_label_pilot.v1,collision:8,0.09711147600000203,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
8,200,"12,14,26,74,82,92,146,161",neighborhood-064794b3c45281b4,True,"1,1,0",official_adaptive,2,True,0.0,0,87cffff52293009d2720f88c79b95705726dc61ae57a834c5dde32d0cf31eaf2,4c8c5c8a0cfecc294f03b8312f2a2462e8aabfd9f5a1e4fa403952deff2aa563,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.11370252524157284,33255,59027,7028,16,policy_train_compartmentalized_double_horizontal_0001,False,0.5,0.12041877899999776,0.12041877899999776,1,0.048194684,0.06780194399999573,0.028289771000004293,lns2.receding_q_label_pilot.v1,collision:8,0.05261683500000203,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,2
8,200,"12,14,26,74,82,92,146,161",neighborhood-064794b3c45281b4,True,"1,0",official_adaptive,1,True,0.0,0,64cd4dfaefd5e0b333db470d8a7f8dc8b30caf9e2db2258680352d2dccf2886f,29a11be02c580d8f106d82b047340347d0ce2c24caac97b780dcdfebffaa720e,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.0774620184038446,18359,37754,2532,8,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.0805411910000089,0.0805411910000089,2,0.040931124,0.0522514200000046,0.028289771000004293,lns2.receding_q_label_pilot.v1,collision:8,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
16,200,"5,14,24,26,40,44,46,65,74,92,94,124,140,142,179,188",neighborhood-07636f198dcab364,True,"1,0",official_adaptive,1,True,0.0,0,055bba9775b5b21e772da74ac5151c1b054914eece07b0dfc22324b44d363fbc,63ef34a5d34a370ab67194343acbd8da7724908d3732425e43b7b2e2d4e04f71,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.06279180307590941,17117,35731,3698,16,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.06480512700000673,0.06480512700000673,2,0.026630115,0.03651535600000244,0.028289771000004293,lns2.receding_q_label_pilot.v1,random:16,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,2
16,200,"5,14,24,26,40,44,46,65,74,92,94,124,140,142,179,188",neighborhood-07636f198dcab364,True,"1,0",official_adaptive,1,True,0.0,0,f809b48d0a8d9182bc6e070966f34981f860e17d48ea27a1712bf1f2519415e8,ba8b13105ee325582bfda96a70400e5400d9035d2cffd906fc2d8f957a6c6e99,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.06596938134368971,18360,36473,5635,16,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.06819401000000624,0.06819401000000624,2,0.029187648,0.03990423900000195,0.028289771000004293,lns2.receding_q_label_pilot.v1,random:16,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
16,200,"11,14,23,24,39,44,66,85,86,95,105,109,110,111,156,195",neighborhood-08abb4b13842628b,True,"1,1,1,1",official_adaptive,3,False,1.0,1,f40d5866653e3cfee182653b404e4f37ee5637e8f571f0455a6dcec64c4aa50f,ae47b8aec26c052406598b527af5b01c9a83e26f96b35c4704326dea753684f3,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.1601785780605602,43154,78125,5797,32,policy_train_compartmentalized_double_horizontal_0001,True,1.0,0.1737204530000156,0.1737204530000156,0,0.061852737000000005,0.09379180700000234,0.028289771000004293,lns2.receding_q_label_pilot.v1,target:16,0.07992864600001326,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,horizon_complete,2
16,200,"11,14,23,24,39,44,66,85,86,95,105,109,110,111,156,195",neighborhood-08abb4b13842628b,True,"1,0",official_adaptive,1,True,0.0,0,4b9ed289b213f584587e7175c86336e6feec3826bb27e15c1f9e1d133a5a13cf,4dc330fd563729b2aceb95f85d1c50f0fee3905e208d009fd2bc998bc0e8f0bd,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.06167867222772063,16826,32995,4444,16,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.0636205190000041,0.0636205190000041,2,0.025455688,0.0353307479999998,0.028289771000004293,lns2.receding_q_label_pilot.v1,target:16,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
