experiment_id,category,status,metric_id,label_zh,value,unit,role
context_primary_audit,static_context,unsupported,candidate_rows,候选结果数,7344,outcomes,coverage
context_primary_audit,static_context,unsupported,dynamic_top1,动态状态 top-1,0.111111111111111,ratio,primary
context_primary_audit,static_context,unsupported,full_top1,完整上下文 top-1,0.152777777777778,ratio,primary
context_primary_audit,static_context,unsupported,top1_gain,上下文 top-1 增益,0.0416666666666667,ratio,gate
context_primary_audit,static_context,unsupported,auc_regret_reduction,AUC regret 相对下降,-0.0227762506852965,ratio,gate
context_secondary_audit,static_context,unsupported,state_count,开发状态数,200,states,coverage
context_secondary_audit,static_context,unsupported,hit_permutation_percentile,真实上下文 top-1 置换百分位,0.062,ratio,gate
context_secondary_audit,static_context,unsupported,auc_permutation_percentile,AUC regret 置换百分位,0.592,ratio,gate
local_representation_audit,representation,unsupported,local_top1_gain,local_pre top-1 增益,0.02,ratio,gate
local_representation_audit,representation,unsupported,realized_regret_reduction,realized AUC regret 下降,0.0725189658490484,ratio,diagnostic
local_representation_audit,representation,unsupported,context_hit_percentile,上下文 top-1 置换百分位,0.312,ratio,gate
movingai_mechanism_probe_v1,action_mechanism,mechanism,state_count,独立状态数,12,states,coverage
movingai_mechanism_probe_v1,action_mechanism,mechanism,map_percentile,地图置换百分位,0.9,ratio,diagnostic
movingai_mechanism_probe_v1,action_mechanism,mechanism,density_percentile,密度置换百分位,0,ratio,diagnostic
movingai_probe_quality_v1,label_quality,unsupported,state_count,split-half 状态数,12,states,coverage
movingai_probe_quality_v1,label_quality,unsupported,rank_spearman,split-half Spearman,0.424017628552767,ratio,stability
movingai_probe_quality_v1,label_quality,unsupported,pareto_jaccard,Pareto-family Jaccard,0.273809523809524,ratio,stability
movingai_probe_quality_v1,label_quality,unsupported,best_jaccard,最佳候选 Jaccard,0.186342592592593,ratio,stability
movingai_probe_quality_v1,label_quality,unsupported,realized_jaccard,实际邻域 Jaccard,0.385766429575861,ratio,stability
movingai_probe_quality_v2,label_quality,mechanism,state_count,split-half 状态数,35,states,coverage
movingai_probe_quality_v2,label_quality,mechanism,rank_spearman,split-half Spearman,0.683559730903026,ratio,stability
