actual_size,agent_count,agents,arm_aliases,arm_id,candidate_id,censored,complete,conflict_auc_seconds,conflict_reduction,conflict_trajectory,continuation_iterations,feasible,final_conflicts,final_fingerprint,final_repair_fingerprint,initial_conflicts,initial_fingerprint,initial_repair_fingerprint,layout_mode,low_level_expanded,low_level_generated,low_level_reopened,low_level_runs,map_id,normalized_conflict_auc_seconds,observed_total_seconds,pp_replan_seconds,repair_iterations,rollout_wall_seconds,schema,shared_initial_selection_seconds,source_stratum,split,state_id,stop_reason,template_key,trial_index
4,100,"6,15,41,58",v2_full,v2_full,neighborhood-f8906dff8fee64d5,False,True,0.03904140199999517,2,"2,1,1,0",2,True,0,417d7fe45084480535d133671d10959b02ecc12305592da7e8de3db3cf416854,c2acfca0529aa5d014987928061b796289020f0d61a7634ca7b716ba4a95165c,2,034ddd153fa6b944dd94384fb8a3faf8d6822dc97c76a674b3a4e562fcf1aa3c,6dd1eb3d6e2838a0fd5f799f4742eeb5da187344b01ccac665b319475b000e06,compartmentalized,15649,30967,17,20,policy_train_compartmentalized_double_horizontal_0002,0.019520700999997587,0.08428741799999528,0.021490556,3,0.051808667999999614,lns2.v3_value_label_pilot.v1,0.03247874999999567,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,feasible,,0
4,100,"6,15,41,58",v2_full,v2_full,neighborhood-f8906dff8fee64d5,False,True,0.040878327000008596,2,"2,1,1,0",2,True,0,fd5758e175b754035bb0a6c029eca806fde2d51844ffbaf9ec0d12afacddfc04,981aae250d9fff2eff63c9f81eb76b935580c30f0c2b3c4a3c3b000c3622210f,2,034ddd153fa6b944dd94384fb8a3faf8d6822dc97c76a674b3a4e562fcf1aa3c,6dd1eb3d6e2838a0fd5f799f4742eeb5da187344b01ccac665b319475b000e06,compartmentalized,15986,31843,88,20,policy_train_compartmentalized_double_horizontal_0002,0.020439163500004298,0.08568217599999883,0.023312853,3,0.05320342600000316,lns2.v3_value_label_pilot.v1,0.03247874999999567,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,feasible,,1
4,100,"15,41,44,58",model_s3,model_s3,neighborhood-17efd1efc98ba3fc,False,True,0.05154640700000357,2,"2,1,1,1,1,0",4,True,0,5b898d150be705511d6b7d6c974d297d081168b5aa9d030350536c4c327ed806,aa82f880153a83312c5d2d37505b7fed5b0cc4bb3125296c90504025d68017e4,2,034ddd153fa6b944dd94384fb8a3faf8d6822dc97c76a674b3a4e562fcf1aa3c,6dd1eb3d6e2838a0fd5f799f4742eeb5da187344b01ccac665b319475b000e06,compartmentalized,21770,42675,36,28,policy_train_compartmentalized_double_horizontal_0002,0.025773203500001785,0.11598949699999395,0.030733633000000003,5,0.08351074699999828,lns2.v3_value_label_pilot.v1,0.03247874999999567,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,feasible,collision:size4:rep1,0
4,100,"15,41,44,58",model_s3,model_s3,neighborhood-17efd1efc98ba3fc,False,True,0.046791577999997,2,"2,1,1,0",2,True,0,eda1154cff9edaddc744a6fe8687fe782f4edc33edb992fe23be010cc160a5c5,dff9d3fde4c8ce1332500d4c0e90f8a81cc6465e377ab3f85493ffe016eff7a0,2,034ddd153fa6b944dd94384fb8a3faf8d6822dc97c76a674b3a4e562fcf1aa3c,6dd1eb3d6e2838a0fd5f799f4742eeb5da187344b01ccac665b319475b000e06,compartmentalized,15527,29998,42,20,policy_train_compartmentalized_double_horizontal_0002,0.0233957889999985,0.09595283399999488,0.028378392,3,0.06347408399999921,lns2.v3_value_label_pilot.v1,0.03247874999999567,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,feasible,collision:size4:rep1,1
8,100,"5,16,44,58,74,84,91,98","oracle_s3_efficiency,oracle_s3_quality_time,oracle_h1_efficiency",oracle_s3_efficiency,neighborhood-39498bf3b29c568a,False,True,0.012407314000000724,2,"2,0",0,True,0,a91abb1e8cbe08dda2981f802d40f752a92642c49e7d46f1fb871e13fb91b646,f676aa9c0e255ace75e79fe049949cc972b76e195cc67b88319b0623e78157f0,2,034ddd153fa6b944dd94384fb8a3faf8d6822dc97c76a674b3a4e562fcf1aa3c,6dd1eb3d6e2838a0fd5f799f4742eeb5da187344b01ccac665b319475b000e06,compartmentalized,2125,6380,37,8,policy_train_compartmentalized_double_horizontal_0002,0.006203657000000362,0.047311690999997325,0.004384272,1,0.014832941000001654,lns2.v3_value_label_pilot.v1,0.03247874999999567,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,feasible,target:size8:rep1,0
8,100,"5,16,44,58,74,84,91,98","oracle_s3_efficiency,oracle_s3_quality_time,oracle_h1_efficiency",oracle_s3_efficiency,neighborhood-39498bf3b29c568a,False,True,0.011856297999997878,2,"2,0",0,True,0,f6085c9bf249c138447672ede70c048f02e1ec51cb193f503ae05b68bd2f2c51,083d0aa11f8a3e2b718809779127e2f6a975c5bca098d5f04c65d107dd1a30f4,2,034ddd153fa6b944dd94384fb8a3faf8d6822dc97c76a674b3a4e562fcf1aa3c,6dd1eb3d6e2838a0fd5f799f4742eeb5da187344b01ccac665b319475b000e06,compartmentalized,2144,6350,55,8,policy_train_compartmentalized_double_horizontal_0002,0.005928148999998939,0.04676971699999655,0.00377246,1,0.014290967000000876,lns2.v3_value_label_pilot.v1,0.03247874999999567,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,feasible,target:size8:rep1,1
16,200,"2,42,48,59,86,97,110,115,127,140,141,144,145,151,181,194","v2_full,model_s3",v2_full,neighborhood-010cf50c9c1f48b7,False,True,0.5361992539999818,4,"4,3,3,1,1,0",4,True,0,fcabdb5ba15e6a9189660573aa8703a8408fbc7956866693b5b9030e6d821eb6,81c6ec141e8c046fcc691011507014242e6ec1584889476634065400ed38961c,4,d130e1e6b2d72f7b38e613a280206fc0b9adc98e04bbcc5492e0f6b16c4e62c1,e26dc05013bf369acc145573b7006557a9ef3606ed1e26a4b4d8669404ceb6db,compartmentalized,165131,162921,77336,40,policy_train_compartmentalized_double_horizontal_0002,0.13404981349999545,0.38513119499997117,0.24216876499999998,5,0.3490268249999957,lns2.v3_value_label_pilot.v1,0.03610436999997546,ordinary_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,feasible,,0
16,200,"2,42,48,59,86,97,110,115,127,140,141,144,145,151,181,194","v2_full,model_s3",v2_full,neighborhood-010cf50c9c1f48b7,False,True,0.2073614709999987,4,"4,1,0",1,True,0,edb5f168556853c45d45ab0301f0bccfce881213e1b00ba6928e5d5b1aada292,45470d4b5450fbcf0a9836a2c1ffd78ca791a63ab09c8ad96ce0b67fd68ea484,4,d130e1e6b2d72f7b38e613a280206fc0b9adc98e04bbcc5492e0f6b16c4e62c1,e26dc05013bf369acc145573b7006557a9ef3606ed1e26a4b4d8669404ceb6db,compartmentalized,70826,66874,38289,24,policy_train_compartmentalized_double_horizontal_0002,0.05184036774999967,0.17003397099997386,0.094081622,2,0.1339296009999984,lns2.v3_value_label_pilot.v1,0.03610436999997546,ordinary_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,feasible,,1
8,200,"91,127,138,146,149,168,176,189",oracle_s3_efficiency,oracle_s3_efficiency,neighborhood-4587a8077bc8c54b,False,True,0.17566035699999816,4,"4,3,2,0",2,True,0,ddd347b2b8387dbdac145c8cf352eb76b99907bfee5235a8bc8cb64ee624dac8,7464e454d7d445257998efdc76b27f056eb554eae43abc82c813938b4dc95ac8,4,d130e1e6b2d72f7b38e613a280206fc0b9adc98e04bbcc5492e0f6b16c4e62c1,e26dc05013bf369acc145573b7006557a9ef3606ed1e26a4b4d8669404ceb6db,compartmentalized,39165,47257,19161,24,policy_train_compartmentalized_double_horizontal_0002,0.04391508924999954,0.15845816499997767,0.06132778,3,0.12235379500000221,lns2.v3_value_label_pilot.v1,0.03610436999997546,ordinary_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,feasible,target:size8:rep0,0
8,200,"91,127,138,146,149,168,176,189",oracle_s3_efficiency,oracle_s3_efficiency,neighborhood-4587a8077bc8c54b,False,True,0.15106441200000376,4,"4,3,0",1,True,0,224221a95d095bb34b996fe243ce214c90b25c76df99ec48ab468622200828d7,4057d655e252b181261598175ba241ae3d163ddf4201f17fcbfedf6164cc9d2f,4,d130e1e6b2d72f7b38e613a280206fc0b9adc98e04bbcc5492e0f6b16c4e62c1,e26dc05013bf369acc145573b7006557a9ef3606ed1e26a4b4d8669404ceb6db,compartmentalized,29385,32934,14940,16,policy_train_compartmentalized_double_horizontal_0002,0.03776610300000094,0.11849426099998084,0.041203129,2,0.08238989100000538,lns2.v3_value_label_pilot.v1,0.03610436999997546,ordinary_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,feasible,target:size8:rep0,1
