arm_id,censored_count,feasible_rate,median_final_conflicts,median_normalized_auc_seconds,median_repair_iterations,median_total_seconds,state_id,trial_count
model_s3,0,1.0,0.0,0.015386573499995393,1.5,0.05125049000005788,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0007__seed_0000__realized_dynamic__decision_0000__0000,2
v2_full,0,1.0,0.0,0.0035417819999850053,1.0,0.03478563350006425,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0007__seed_0000__realized_dynamic__decision_0000__0000,2
model_s3,0,1.0,0.0,0.031962601749995656,2.5,0.1201424390000625,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,4
oracle_s3_efficiency,0,1.0,0.0,0.02711117549999642,1.0,0.07617489200005423,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,4
v2_full,0,1.0,0.0,0.22645056525001195,9.5,0.5081272605000606,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,4
oracle_h1_efficiency,2,0.5,1.0,3.342427929090439,56.0,15.021981012999987,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,4
oracle_s3_quality_time,3,0.25,4.5,4.817598992968101,60.0,18.06585816949996,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,4
v2_full,4,0.0,5.5,4.801510995670235,60.0,18.19509183349998,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,4
model_s3,0,1.0,0.0,0.024584496250000143,4.0,0.10597116549999441,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,2
oracle_s3_efficiency,0,1.0,0.0,0.0060659029999996505,1.0,0.047040703999996936,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,2
v2_full,0,1.0,0.0,0.019979932250000942,3.0,0.08498479699999706,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,2
oracle_s3_efficiency,0,1.0,0.0,0.04084059612500024,2.5,0.13847621299997925,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,2
oracle_s3_quality_time,0,1.0,0.0,0.06952939775000289,3.0,0.19995323699998124,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,2
v2_full,0,1.0,0.0,0.09294509062499756,3.5,0.2775825829999725,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,2
oracle_s3_efficiency,1,0.75,0.0,0.44147731104765403,37.0,2.88832540749997,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,4
oracle_s3_quality_time,1,0.75,0.0,0.7814939470297986,51.5,4.072076260999978,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,4
v2_full,1,0.75,0.0,0.4493832568868793,41.5,3.422589486999982,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,4
oracle_h1_efficiency,0,1.0,0.0,0.3832860394047539,24.5,1.8731747965000665,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0006__0022,4
oracle_s3_efficiency,0,1.0,0.0,0.5785944352698295,56.5,4.01495628800005,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0006__0022,4
v2_full,0,1.0,0.0,0.39631732899997585,41.0,2.9686004120000575,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0006__0022,4
model_s3,0,1.0,0.0,0.013059892500024262,1.0,0.14748354450003376,s3__policy_train__policy_train_dead_end_aisles_0002__task_0012__seed_0000__realized_dynamic__decision_0000__0090,4
oracle_s3_efficiency,0,1.0,0.0,0.010489315999990367,1.0,0.14051714550004135,s3__policy_train__policy_train_dead_end_aisles_0002__task_0012__seed_0000__realized_dynamic__decision_0000__0090,4
v2_full,0,1.0,0.0,0.013972186000017928,1.0,0.14280667900003152,s3__policy_train__policy_train_dead_end_aisles_0002__task_0012__seed_0000__realized_dynamic__decision_0000__0090,4
model_s3,0,1.0,0.0,0.13581111107144345,8.0,0.7206497590001106,s3__policy_train__policy_train_dead_end_aisles_0002__task_0016__seed_0000__fixed_random__decision_0000__0103,4
oracle_h1_efficiency,0,1.0,0.0,0.06540041085716147,6.5,0.5846997220001526,s3__policy_train__policy_train_dead_end_aisles_0002__task_0016__seed_0000__fixed_random__decision_0000__0103,4
oracle_s3_efficiency,0,1.0,0.0,0.10668478971434427,6.0,0.5454640735001419,s3__policy_train__policy_train_dead_end_aisles_0002__task_0016__seed_0000__fixed_random__decision_0000__0103,4
v2_full,0,1.0,0.0,0.06934662892858309,5.5,0.5305297845001178,s3__policy_train__policy_train_dead_end_aisles_0002__task_0016__seed_0000__fixed_random__decision_0000__0103,4
model_s3,0,1.0,0.0,0.004520665999976359,1.0,0.04626466150007502,s3__policy_train__policy_train_regular_beltway_0002__task_0011__seed_0000__official_adaptive__decision_0000__0109,4
oracle_s3_efficiency,0,1.0,0.0,0.005015751999977169,1.0,0.04782384500006742,s3__policy_train__policy_train_regular_beltway_0002__task_0011__seed_0000__official_adaptive__decision_0000__0109,4
v2_full,0,1.0,0.0,0.004574876500001324,1.0,0.04636225850008202,s3__policy_train__policy_train_regular_beltway_0002__task_0011__seed_0000__official_adaptive__decision_0000__0109,4
model_s3,0,1.0,0.0,0.012519088499985287,1.0,0.08161430199993447,s3__policy_train__policy_train_regular_beltway_0002__task_0015__seed_0000__realized_dynamic__decision_0000__0110,2
v2_full,0,1.0,0.0,0.00775112350000029,1.0,0.07581846599993014,s3__policy_train__policy_train_regular_beltway_0002__task_0015__seed_0000__realized_dynamic__decision_0000__0110,2
model_s3,0,1.0,0.0,0.15899318627780998,15.0,1.109250765999974,s3__policy_train__policy_train_regular_beltway_0002__task_0019__seed_0000__fixed_random__decision_0000__0116,4
oracle_s3_efficiency,0,1.0,0.0,0.13199491377779143,12.5,0.9610925570000006,s3__policy_train__policy_train_regular_beltway_0002__task_0019__seed_0000__fixed_random__decision_0000__0116,4
v2_full,0,1.0,0.0,0.14875967977774313,11.5,0.9196461329999863,s3__policy_train__policy_train_regular_beltway_0002__task_0019__seed_0000__fixed_random__decision_0000__0116,4
