actual_size,agent_count,agents,arm_aliases,arm_id,candidate_id,censored,complete,conflict_auc_seconds,conflict_reduction,conflict_trajectory,continuation_iterations,feasible,final_conflicts,final_fingerprint,final_repair_fingerprint,followup_reason,initial_conflicts,initial_fingerprint,initial_repair_fingerprint,layout_mode,low_level_expanded,low_level_generated,low_level_reopened,low_level_runs,map_id,normalized_conflict_auc_seconds,observed_total_seconds,pp_replan_seconds,repair_iterations,rollout_wall_seconds,schema,shared_initial_selection_seconds,source_stratum,split,state_id,stop_reason,template_key,trial_index
4,100,"15,18,29,67",model_s3,model_s3,neighborhood-f2df7e71c2d4a6a3,False,True,0.007981417999985752,2,"2,0",0,True,0,b4e423505e716bc81cbdb62921546e9f7dbb8dc1d29e0018740e0e7477f9822c,f349bf283e3b959234eea16cbc8b741d1a0006a9d5f09387dbdf56fb338f840e,,2,4f6e69705435e2f6352697e431905b603c294aa340d55dfd9233cc6398fa6c46,0fb48641acba6bb846facc0ea29201b4855f0d28e95134994d3af9a31f5222b0,compartmentalized,1413,3323,0,4,policy_train_compartmentalized_double_horizontal_0001,0.003990708999992876,0.036380628000046045,0.002149091,1,0.0128401479999809,lns2.v3_value_label_pilot.v1,0.023540480000065145,near_feasible,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0007__seed_0000__realized_dynamic__decision_0000__0000,feasible,collision:size4:rep0,0
4,100,"15,18,29,67",model_s3,model_s3,neighborhood-f2df7e71c2d4a6a3,False,True,0.05356487599999582,2,"2,2,0",1,True,0,56c642996a7610249e0d15a92afa6110c3c5291a3e99c15c70e67d141526236e,705ff6d350f4a903ee213ae84047242caff90926b3ef653d5bdee148e8f89655,,2,4f6e69705435e2f6352697e431905b603c294aa340d55dfd9233cc6398fa6c46,0fb48641acba6bb846facc0ea29201b4855f0d28e95134994d3af9a31f5222b0,compartmentalized,30932,17907,19589,12,policy_train_compartmentalized_double_horizontal_0001,0.02678243799999791,0.06612035200006972,0.023108955,2,0.04257987200000457,lns2.v3_value_label_pilot.v1,0.023540480000065145,near_feasible,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0007__seed_0000__realized_dynamic__decision_0000__0000,feasible,collision:size4:rep0,1
2,100,"18,29","v2_full,oracle_s3_efficiency,oracle_s3_quality_time,oracle_h1_efficiency",v2_full,neighborhood-a3f55c71d02839d8,False,True,0.007534635999945749,2,"2,0",0,True,0,fa34caa25d96e4aebb237be7b89e628cb9b2e867ac24848f26efd87103915caa,6c697f17446697ce201071cf42058ef7b6289f8895f31cd028fcfb04c4cc4065,,2,4f6e69705435e2f6352697e431905b603c294aa340d55dfd9233cc6398fa6c46,0fb48641acba6bb846facc0ea29201b4855f0d28e95134994d3af9a31f5222b0,compartmentalized,1322,2845,0,2,policy_train_compartmentalized_double_horizontal_0001,0.0037673179999728745,0.03538802500006,0.001970221,1,0.011847544999994852,lns2.v3_value_label_pilot.v1,0.023540480000065145,near_feasible,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0007__seed_0000__realized_dynamic__decision_0000__0000,feasible,,0
2,100,"18,29","v2_full,oracle_s3_efficiency,oracle_s3_quality_time,oracle_h1_efficiency",v2_full,neighborhood-a3f55c71d02839d8,False,True,0.006632491999994272,2,"2,0",0,True,0,257393119a956fd503eaef6ec2b28c61efa709a5e1dbbca530b071a2d00a98f8,59b061e0bd016c56f28055804d1eabc18a7a231ed7e45bc33d85b56b9ae4b302,,2,4f6e69705435e2f6352697e431905b603c294aa340d55dfd9233cc6398fa6c46,0fb48641acba6bb846facc0ea29201b4855f0d28e95134994d3af9a31f5222b0,compartmentalized,1323,2828,0,2,policy_train_compartmentalized_double_horizontal_0001,0.003316245999997136,0.0341832420000685,0.001815797,1,0.010642762000003358,lns2.v3_value_label_pilot.v1,0.023540480000065145,near_feasible,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0007__seed_0000__realized_dynamic__decision_0000__0000,feasible,,1
8,200,"36,86,103,108,110,137,161,190",model_s3,model_s3,neighborhood-059ac50035894a3e,False,True,0.039146779999953196,2,"2,0",0,True,0,ef063476e04b442127f84891c422eb7a9106298e8db305da98b636291b68dc75,5eec0645ab4a614ef5c92fb7ee59466cbf461487f39c8fa7a955e0efcb9a8cbc,,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,12575,15160,6447,8,policy_train_compartmentalized_double_horizontal_0001,0.019573389999976598,0.06795033000005901,0.016662286,1,0.03403340200000571,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,collision:size8:rep0,0
8,200,"36,86,103,108,110,137,161,190",model_s3,model_s3,neighborhood-059ac50035894a3e,False,True,0.08870362700002943,2,"2,1,1,1,0",3,True,0,38bb15b0e69a509e5ab17a52413f9df8040bac28a708c9f71f9027f463318d6a,4e1087986aa4bd67c5711daaf5fccdef8c6e3e18430bc049ad7601c7c8cb52aa,,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,44420,45061,17856,23,policy_train_compartmentalized_double_horizontal_0001,0.044351813500014714,0.17233454800006598,0.057859125,4,0.13841762000001268,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,collision:size8:rep0,1
8,200,"36,86,103,108,110,137,161,190",model_s3,model_s3,neighborhood-059ac50035894a3e,False,True,0.15721108200000344,2,"2,1,1,1,1,0",4,True,0,a8f6e23497d12fd8ba5f391b1645381beb26601bb82e0d4638ee662cfe0827ef,e7aded8c96596d7e5f06c361f125d2fb74fc9e51cf55bc7876b08cc2acd9a1dd,new_seed,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,114196,93445,58223,40,policy_train_compartmentalized_double_horizontal_0001,0.07860554100000172,0.2540916200000538,0.125766446,5,0.2201746920000005,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,collision:size8:rep0,2
8,200,"36,86,103,108,110,137,161,190",model_s3,model_s3,neighborhood-059ac50035894a3e,False,True,0.03339954000000489,2,"2,0",0,True,0,851ac2809a4324460c99b8b54820505cb564ef7426392a33902f5c58f39d569a,03ef4ebf32604479499ad702da56a35dce8c101048a3f1a31168eb2a70b6c768,new_seed,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,12719,12340,7934,8,policy_train_compartmentalized_double_horizontal_0001,0.016699770000002445,0.06494720000006282,0.013828091,1,0.031030272000009518,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,collision:size8:rep0,3
16,200,"3,16,31,44,46,55,73,89,110,133,143,155,161,176,180,197","oracle_s3_efficiency,oracle_s3_quality_time,oracle_h1_efficiency",oracle_s3_efficiency,neighborhood-02581e387a88031a,False,True,0.050057385999991766,2,"2,0",0,True,0,f558db30a4bac2b9a19e59e6b2fd75a61f43075289f88cba5007353d4515d190,59a1b375fbbd21317e9cc7bd441304a102566216fb809337c84b5c155c9b3525,,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,16417,19175,9127,16,policy_train_compartmentalized_double_horizontal_0001,0.025028692999995883,0.07392995000006408,0.022175287,1,0.04001302200001078,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,random:size16:rep0,0
16,200,"3,16,31,44,46,55,73,89,110,133,143,155,161,176,180,197","oracle_s3_efficiency,oracle_s3_quality_time,oracle_h1_efficiency",oracle_s3_efficiency,neighborhood-02581e387a88031a,False,True,0.04467149999999265,2,"2,0",0,True,0,90710236c04cd86eddc56d7588176b29a9b0351e66c5206eb037c769df94ba8e,3cdc509b080310f140bfea99cad10551568e2f737666c7c7aad391e2fa46bb76,,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,14199,14948,9271,16,policy_train_compartmentalized_double_horizontal_0001,0.022335749999996324,0.0705875590000744,0.019322749,1,0.0366706310000211,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,random:size16:rep0,1
